date,face_index,mood,confidence,all_emotions
2024-11-02 17:42:45,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:31:33,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:32:33,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:34:29,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:34:35,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:34:39,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:40:14,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:42:39,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:42:45,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:44:40,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:47:40,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:48:45,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:49:42,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:50:38,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:54:55,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:57:20,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:59:21,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:59:21,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
2024-11-03 01:59:35,1,happy,88.9791190624237,"{'angry': 0.00010614028269628761, 'disgust': 5.884188691851477e-07, 'fear': 0.0006651804142165929, 'happy': 88.9791190624237, 'sad': 0.0018277492927154526, 'surprise': 0.5179636180400848, 'neutral': 10.500311851501465}"
